Close,High,Low,Open,Volume
TM,TM,TM,TM,TM
123.04181671142578,124.86577448062579,123.04181671142578,123.62336963306059,245600
123.30616760253906,124.66311105640376,123.0418241272214,123.09469013327141,217800
125.54424285888672,126.28440725431176,125.22703338800949,125.74691380213275,176000
123.08587646484375,124.5309388082377,123.00657746037461,124.5309388082377,99500
124.78646087646484,124.98913181232274,123.48238351931576,123.61454852525202,136200
126.98049926757812,127.45630675341447,126.32845383988577,126.34608032308482,130200
125.77332305908203,126.4253549157928,125.1741437516275,125.84381553319814,150100
124.97148132324219,126.14339344933465,124.4780474691115,124.98910780233662,228600
124.16966247558594,124.31064743852328,123.4735710693152,123.9758115128136,140000
125.23585510253906,126.0376785874336,125.18298909749848,125.38564659850985,113000
126.23150634765625,126.8483121465081,126.19626683246767,126.66326771783956,238000
126.74256134033203,127.35054715082578,126.1610085263759,126.79542733340725,188300
124.51332092285156,124.71597842995456,123.38546796452592,124.2137379219049,231400
123.5,124.38113582172649,123.39425455874819,123.4471340019069,77300
118.4775390625,122.03732218365221,118.46871909865479,119.76398994761732,355200
119.95783233642578,120.23980225795628,119.11193601690016,119.48202490017542,289200
120.13406372070312,120.46009314184765,119.63182325607143,119.87854022906009,197900
120.58345031738281,121.73773616668775,120.4953313515306,121.39409371197051,171500
121.84346771240234,122.34572161475542,121.37646677428445,121.5086317775003,137800
121.7289047241211,122.31927753853954,121.33239630530956,122.12542658799786,150100
122.24878692626953,122.46025091549318,121.68486054656408,121.8787115000627,130700
124.13441467285156,125.56185035339561,123.06823444875896,124.18728066915834,190300
126.06411743164062,126.16984943534472,125.03317661525936,125.7909540136274,319900
133.05149841308594,133.7035437091084,131.32446642514066,131.8355267741748,708800
135.32484436035156,136.4879366814968,135.22791887983396,135.69491980094622,494700
134.68162536621094,135.22792531235146,133.8445355196194,135.22792531235146,285300
136.6553497314453,136.9989921600088,134.8137791128631,135.8358998806652,266100
136.2588348388672,137.72152344285084,136.17071588390343,137.56291201292902,222100
135.49224853515625,135.75659195013108,134.67278529324076,135.47462205547404,327300
133.72999572753906,133.72999572753906,131.63288803925926,132.5228304342106,257100
132.848876953125,133.71238645855124,132.36424946969817,133.44804297258494,181800
133.19248962402344,133.3599075758125,132.34659334737628,132.73429524729517,317900
132.5845184326172,133.16607134678367,132.3289814953016,132.3289814953016,150200
134.4613494873047,135.183873964871,134.13532004767043,134.90191745620797,215600
135.11337280273438,136.75228607964596,134.72567086377754,136.576061592411,265100
135.77423095703125,136.76111233204702,135.73017147192988,136.144306430762,193500
136.19717407226562,136.43507107006764,135.66848718701803,136.0561891101908,160000
135.06930541992188,137.28977147540135,133.95027259664164,137.28977147540135,315600
135.166259765625,135.166259765625,133.7123907141412,133.85337570381938,231800
135.28077697753906,135.84470334623038,134.35558170755942,134.55825262002762,296100
134.52301025390625,134.54944325412475,133.5008894285701,133.63306787472885,345000
134.68162536621094,135.74779225755398,134.0295799712519,135.3424772797938,418100
135.1574249267578,135.87996276366692,133.77404865996556,134.9900069672269,335500
133.71234130859375,134.00311770046488,132.74308666902328,134.00311770046488,618700
132.7431182861328,133.05152122992428,132.19681832919954,132.94578922408348,387500
133.35108947753906,134.17055276747345,133.25416400120415,133.47444795241393,314900
130.76937866210938,131.42141060589643,129.87061630343376,130.989662631241,390600
130.5226287841797,131.06012207114762,129.9234495477756,130.80458520214515,368800
132.15274047851562,132.2056064740887,130.54908035085018,131.05132075385956,256000
133.35108947753906,134.55825467281315,132.5228196697798,133.25416400120415,469100
130.3640594482422,130.927985911236,130.06447645588523,130.58434343292834,393400
129.28024291992188,130.3640361664031,127.98497224568564,130.3640361664031,369500
128.62820434570312,129.09520525871596,128.2493223934747,128.64583082687315,285800
125.68521118164062,127.6765732685479,125.3327622362808,127.49154227800689,407500
126.26676177978516,126.87474762794348,125.429685465754,125.84382036391793,275100
123.81720733642578,125.28870252037716,123.39425246871374,125.28870252037716,342600
123.72029113769531,124.00224762558192,122.73340981742615,123.50000716947567,362900
126.108154296875,126.32843825194644,124.8745695265012,125.7028393487803,447900
130.4698028564453,130.9015508548128,129.39481595243828,129.80013094866356,462000
130.42572021484375,131.18349751353807,129.96752585061665,130.5931381620651,250800
132.92816162109375,133.21011811598183,131.5183388114532,132.14395121256123,329800
134.75210571289062,134.78735867786108,134.09125379289526,134.1881792789639,309400
135.6949005126953,136.0561693837328,134.69040633241687,135.19264670002406,326800
142.3563232421875,143.95117717516862,137.1135669804043,137.45720946626727,1415500
140.0477294921875,143.26386985969143,139.4397436246987,143.26386985969143,466600
141.41351318359375,142.1360376697682,140.68216873309302,140.68216873309302,418000
137.880126953125,140.32968341455535,137.60697700488186,139.83624951513994,468500
137.9241943359375,138.15328481806085,136.9020735171112,137.64223785371385,279400
135.2102813720703,135.50986430739727,134.18816065088618,134.9371314342684,490500
135.29843139648438,135.87998436570987,134.9459689401047,135.43941637903626,231800
134.3203582763672,135.6244356391772,134.04720829953538,135.2984196597414,291300
134.57586669921875,134.98119508223377,132.02938478013346,133.49207343201277,304000
134.3291473388672,134.74328223220346,132.81359271752268,133.04269662579003,419300
131.51832580566406,134.17055319145274,130.83104095132293,134.17055319145274,446200
130.34642028808594,132.4611544024461,129.35074591678415,132.27610995747648,592900
131.5888214111328,132.14394128555003,130.80461106151228,131.474282896064,347900
131.4742889404297,132.32897836397086,131.07776704329308,131.76505194556586,337100
131.1394805908203,132.33782616261678,131.00730211561773,132.17040816106834,377900
129.39480590820312,131.5359595859185,128.24932660571199,130.97203317554744,353400
